TARGETID,SURVEY
39633183259495455,sv2
39633187462186528,sv2
39633183259496101,sv2
39633183259494852,sv2
39633183259495902,sv2
39633183259496217,sv2
39633183259494940,sv2
39633183259495063,sv2
39633187457994158,sv2
39633179027442362,sv2
39633179027443902,sv2
39633179027443889,sv2
39633179027441455,sv2
39633179027442805,sv2
39633179027440700,sv2
39633183251104077,sv2
39633179027443532,sv2
39633179027441435,sv2
39633187449602698,sv2
39633187445411402,sv2
39633183251107299,sv2
39633183255298074,sv2
39633179031637239,sv2
39633187449602570,sv2
39633183251104569,sv2
39633183251106376,sv2
39633183251106609,sv2
39633183251107448,sv2
39633183251105491,sv2
39633183251104126,sv2
39633183251104600,sv2
39633183251107324,sv2
39633187449605902,sv2
39633191631325614,sv2
39633191631323500,sv2
39633187449606003,sv2
39633187449603615,sv2
39633179031636765,sv2
39633179031636657,sv2
39633174795387804,sv2
39633174795387658,sv2
39633183246911516,sv2
39633187453796672,sv2
39633187449603240,sv2
39633187449603844,sv2
39633187449604460,sv2
39633183246911039,sv2
39633187453798731,sv2
39633183246913471,sv2
39633187449604861,sv2
39633187449605557,sv2
39633191631323722,sv2
39633183246910546,sv2
39633183242718354,sv2
39633179027440342,sv2
39633183246911248,sv2
39633183255299845,sv2
39633179040023601,sv2
39633179040025253,sv2
39633179044216950,sv2
39633179040024711,sv2
39633179040024952,sv2
39633179040025711,sv2
39633174803776091,sv2
39633179035830302,sv2
39633179035828517,sv2
39633174799584301,sv2
39633174799583786,sv2
39633174803776200,sv2
39633174803775581,sv2
39633174795390410,sv2
39633183259493236,sv2
39633174803778076,sv2
39633174799582489,sv2
39633179040026233,sv2
39633174803777170,sv2
39633174799581633,sv2
39633174795390264,sv2
39633174795390663,sv2
39633174803778540,sv2
39633174803776584,sv2
39633174795389566,sv2
39633174803777240,sv2
39633179040025205,sv2
39633183255300979,sv2
39633179035829424,sv2
39633179035829634,sv2
39633179035828672,sv2
39633179035831116,sv2
39633174799583235,sv2
39633174799583917,sv2
39633170542365550,sv2
